MEP,group_abbv,country,Industry-31,Industry-32,Industry-33,Industry-34,Industry-35,Industry-36,Industry-37,Industry-38,Industry-39,Industry-40,Industry-41,Industry-42,Industry-43,Industry-44,Industry-45,Industry-46,"Paragraph 1, amendment 5","Paragraph 3, amendment 6",Paragraph 6/1,Paragraph 6/2,"Paragraph 16, indent 5, amendment 7",Paragraph 18,Paragraph 19,Paragraph 20,"Paragraph 24, amendment 8","Paragraph 27, amendment 9","Paragraph 29, amendment 10",Paragraph 52/1,Paragraph 52/2,Paragraph 69/1,Paragraph 69/2,"Paragraph 73, intro, amendment 11","Paragraph 73, indent 1, amendment 12","Paragraph 73, indent 3, amendment 13","Paragraph 73, indent 3, amendment 4","Paragraph 73, indent 4/1","Paragraph 73, indent 4/2","Paragraph 73, indent 5, amendment 15","Paragraph 73, after indent 5, amendment 24","Paragraph 74, intro, amendment 16","Paragraph 74, indent 1, amendment 17","Paragraph 74, indent 3, amendment 18","Paragraph 74, after indent 3, amendment 25","Paragraph 75, amendment 19",Paragraph 75/1,Paragraph 75/2,"Paragraph 76, amendment 20","Paragraph 77, amendment 21","Paragraph 78, amendment 22","Paragraph 80, amendment 23",Citation 3/1,Citation 3/2,"After citation 4, amendment 1","Recital G, amendment 2",Recital J/1,Recital J/2,Recital J/3,"Recital V, amendment 3","Recital AE, amendment 4",vote: resolution (as a whole)
Tilly Metz,Greens/EFA,Luxembourg,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Tineke Strik,Greens/EFA,Netherlands,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Tiziana Beghin,NI,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Abstain,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,For,Against,For
Tom Berendsen,EPP,Netherlands,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,For,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Tom Vandendriessche,IDG,Belgium,For,Against,Against,Against,Against,Against,For,For,For,Against,Abstain,Against,Against,For,For,Abstain,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Tom Vandenkendelaere,EPP,Belgium,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,Abstain,For,For,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,For
Tomas Tobe,EPP,Sweden,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Tomas Zdechovsky,EPP,Czech Republic,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,For,Against,Against,Against,Against,For,For,For,Abstain,Against,Abstain,Against,Abstain,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Tomasz Frankowski,EPP,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Tomasz Piotr Poreba,ECR,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Tomislav Sokol,EPP,Croatia,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Tonino Picula,S&D,Croatia,For,For,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Traian Basescu,EPP,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
